Activity_1-7747           | [001] | 3248.629684  | sched_switch    | Activity_1:7747 [120] R ==> rcuc/1:30 [98] 
Activity_2-7748           | [000] | 3248.629685  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/1-30                 | [001] | 3248.629687  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
rcuc/0-21                 | [000] | 3248.629687  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
Activity_2-7748           | [000] | 3248.630681  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_1-7747           | [001] | 3248.630682  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_2-7748           | [000] | 3248.630683  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/0-21                 | [000] | 3248.630685  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
Activity_1-7747           | [001] | 3248.630685  | sched_switch    | Activity_1:7747 [120] R ==> rcuc/1:30 [98] 
rcuc/1-30                 | [001] | 3248.630688  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.633681  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_2-7748           | [000] | 3248.633681  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_1-7747           | [001] | 3248.633684  | sched_switch    | Activity_1:7747 [120] R ==> rcuc/1:30 [98] 
Activity_2-7748           | [000] | 3248.633684  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/0-21                 | [000] | 3248.633686  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
rcuc/1-30                 | [001] | 3248.633686  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.634680  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_2-7748           | [000] | 3248.634680  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_1-7747           | [001] | 3248.634682  | sched_switch    | Activity_1:7747 [120] R ==> rcuc/1:30 [98] 
Activity_2-7748           | [000] | 3248.634682  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/0-21                 | [000] | 3248.634684  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
rcuc/1-30                 | [001] | 3248.634684  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
Activity_2-7748           | [000] | 3248.635681  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
