
[!] Lettura batch da file: trace_results_app09c_20260318_214345/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2376.414698     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1515.704000 ms)
2376.414958     | [DISPATCH] Task Activity_1 prende la CPU
2376.424468     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1525.214000 ms)
2376.424805     | [DISPATCH] Task Activity_1 prende la CPU
2376.425130     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1525.539000 ms)
2376.425436     | [DISPATCH] Task Activity_1 prende la CPU
2376.425790     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1525.893000 ms)
2376.426061     | [DISPATCH] Task Activity_1 prende la CPU
2376.434831     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1534.663000 ms)
2376.435109     | [DISPATCH] Task Activity_1 prende la CPU
2376.487512     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1587.066000 ms)
2376.487529     | [DISPATCH] Task Activity_1 prende la CPU
2376.522579     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1622.116000 ms)
2376.522582     | [DISPATCH] Task Activity_1 prende la CPU
2376.628081     | [SLEEP]    Task Activity_1 ha TERMINATO l'esecuzione! Costo: 1727.615000 ms
2376.650510     | [WAKEUP]   Task Activity_2 Rilasciato (Inizio Percorso 1)
2376.650790     | [DISPATCH] Task Activity_2 prende la CPU
2376.670174     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 19.384000 ms)
2376.670451     | [DISPATCH] Task Activity_2 prende la CPU
2376.679430     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 28.363000 ms)
2376.679449     | [DISPATCH] Task Activity_2 prende la CPU
2376.679657     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 28.571000 ms)
2376.679733     | [DISPATCH] Task Activity_2 prende la CPU
2376.680095     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 28.933000 ms)
2376.680326     | [DISPATCH] Task Activity_2 prende la CPU
2376.696457     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 45.064000 ms)
2376.696597     | [DISPATCH] Task Activity_2 prende la CPU
2376.698545     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.012000 ms)
2376.698684     | [DISPATCH] Task Activity_2 prende la CPU
2376.699018     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.346000 ms)
