
[!] Stream Eventi Live in esecuzione...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
---------------------------------------------------------------------------

..............................................................
1002.244299     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]

..............................................................
1004.644527     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1004.644528     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.

..............................................................
1004.644538     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
1004.647559     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1004.720092     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.720093     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.720607     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.738565     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1004.739093     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.739094     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.739197     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.739615     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.739616     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.740287     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.822476     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1004.822478     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.822982     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1004.878044     | [FINE LOGICA]   Task Activity_1 completa l'attivita' computazionale.
1004.878050     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1004.879575     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.010500     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
1005.010505     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
