
[!] Lettura batch da file: trace_results_app09b_20260318_212644/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
1355.724922     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 486.910 ms)
1355.724955     | [DISPATCH] Task Activity_1 prende la CPU
1355.734311     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 496.266 ms)
1355.734377     | [DISPATCH] Task Activity_1 prende la CPU
1355.734400     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 496.289 ms)
1355.734433     | [DISPATCH] Task Activity_1 prende la CPU
1355.734856     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 496.712 ms)
1355.734887     | [DISPATCH] Task Activity_1 prende la CPU
1355.737896     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 499.721 ms)
1355.737933     | [DISPATCH] Task Activity_1 prende la CPU
1355.747189     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 508.977 ms)
1355.747238     | [DISPATCH] Task Activity_1 prende la CPU
1355.749568     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 511.307 ms)
1355.749605     | [DISPATCH] Task Activity_1 prende la CPU
1355.749760     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 511.462 ms)
1355.749817     | [DISPATCH] Task Activity_1 prende la CPU
1355.749845     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 511.490 ms)
1355.749914     | [DISPATCH] Task Activity_1 prende la CPU
1355.749937     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 511.513 ms)
1355.749969     | [DISPATCH] Task Activity_1 prende la CPU
1355.750012     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 511.556 ms)
1355.750049     | [DISPATCH] Task Activity_1 prende la CPU
1355.750203     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 511.710 ms)
1355.750267     | [DISPATCH] Task Activity_1 prende la CPU
1355.750285     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 511.728 ms)
1355.750311     | [DISPATCH] Task Activity_1 prende la CPU
1355.750957     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 512.374 ms)
1355.750988     | [DISPATCH] Task Activity_1 prende la CPU
1355.751024     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 512.410 ms)
1355.751047     | [DISPATCH] Task Activity_1 prende la CPU
1355.751161     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 512.524 ms)
1355.751192     | [DISPATCH] Task Activity_1 prende la CPU
1355.773239     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 534.571 ms)
1355.773292     | [DISPATCH] Task Activity_1 prende la CPU
1355.774721     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 536.000 ms)
1355.774733     | [DISPATCH] Task Activity_1 prende la CPU
1355.774768     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 536.035 ms)
1355.774800     | [DISPATCH] Task Activity_1 prende la CPU
1355.775382     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 536.617 ms)
1355.775416     | [DISPATCH] Task Activity_1 prende la CPU
1355.777882     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 539.083 ms)
1355.777977     | [DISPATCH] Task Activity_1 prende la CPU
1355.778010     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 539.116 ms)
1355.778045     | [DISPATCH] Task Activity_1 prende la CPU
1355.778367     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 539.438 ms)
