Activity_1-22836          | [000] | 81541.423831 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.424120 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.526068 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.526071 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.526356 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.527069 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.527070 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.527308 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.628457 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.628459 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.628763 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.629459 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.629459 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.629709 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
<idle>-0                  | [001] | 81541.656903 | sched_wakeup    | Activity_2:22837 [80] CPU:001 
<idle>-0                  | [001] | 81541.656905 | sched_switch    | swapper/1:0 [120] R ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81541.703540 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
Activity_1-22836          | [000] | 81541.730890 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.730892 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.731169 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.833247 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.833249 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.833526 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.935686 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81541.935687 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81541.935964 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81541.999550 | sched_switch    | Activity_1:22836 [98] R ==> kworker/0:3:18929 [120] 
