
[!] In attesa dello stream /sys/kernel/debug/tracing/trace_pipe...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2232.396473     | [DISPATCH] Task Activity_1 prende la CPU
2232.396658     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 965.021000 ms)
2232.396805     | [DISPATCH] Task Activity_1 prende la CPU
2232.396853     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 965.069000 ms)
2232.397011     | [DISPATCH] Task Activity_1 prende la CPU
2232.397154     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 965.212000 ms)
2232.397301     | [DISPATCH] Task Activity_1 prende la CPU
2232.397351     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 965.262000 ms)
2232.397528     | [DISPATCH] Task Activity_1 prende la CPU
2232.397695     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 965.429000 ms)
2232.397845     | [DISPATCH] Task Activity_1 prende la CPU
2232.397893     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 965.477000 ms)
2232.398052     | [DISPATCH] Task Activity_1 prende la CPU
2232.398101     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 965.526000 ms)
2232.398209     | [DISPATCH] Task Activity_1 prende la CPU
2232.398780     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 966.097000 ms)
2232.398928     | [DISPATCH] Task Activity_1 prende la CPU
2232.398977     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 966.146000 ms)
2232.399135     | [DISPATCH] Task Activity_1 prende la CPU
2232.400766     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 967.777000 ms)
2232.400906     | [DISPATCH] Task Activity_1 prende la CPU
2232.401652     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 968.523000 ms)
2232.401815     | [DISPATCH] Task Activity_1 prende la CPU
2232.401863     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 968.571000 ms)
2232.402024     | [DISPATCH] Task Activity_1 prende la CPU
2232.402170     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 968.717000 ms)
2232.402322     | [DISPATCH] Task Activity_1 prende la CPU
2232.402375     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 968.770000 ms)
2232.402529     | [DISPATCH] Task Activity_1 prende la CPU
2232.403617     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 969.858000 ms)
2232.403751     | [DISPATCH] Task Activity_1 prende la CPU
2232.404389     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 970.496000 ms)
2232.404456     | [DISPATCH] Task Activity_1 prende la CPU
2232.419053     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 63.747000 ms)
2232.419061     | [DISPATCH] Task Activity_2 prende la CPU
